,Date,Stock
165,2019-02-13,351.7699890136719
166,2019-02-14,359.07000732421875
167,2019-02-15,356.8699951171875
168,2019-02-16,359.39500427246094
169,2019-02-17,360.65750885009766
170,2019-02-18,361.288761138916
171,2019-02-19,361.9200134277344
172,2019-02-20,359.9100036621094
173,2019-02-21,356.9700012207031
174,2019-02-22,363.0199890136719
175,2019-02-23,363.4649963378906
176,2019-02-24,363.6875
177,2019-02-25,363.9100036621094
178,2019-02-26,364.9700012207031
179,2019-02-27,362.8699951171875
180,2019-02-28,358.1000061035156
181,2019-03-01,357.32000732421875
182,2019-03-02,354.1800079345703
183,2019-03-03,352.6100082397461
184,2019-03-04,351.0400085449219
185,2019-03-05,354.29998779296875
186,2019-03-06,359.6099853515625
187,2019-03-07,352.6000061035156
188,2019-03-08,349.6000061035156
