,Date,Stock,StockChange,SentimentValue,SentimentChange
210,3/30/2019,361.7599945,5.199996948,0.250944444,-0.02645
211,3/31/2019,364.359993,2.599998474,0.397996667,0.147052223
212,4/1/2019,366.9599915,2.599998474,0,-0.397996667
213,4/2/2019,367.7200012,0.760009766,-0.007206667,-0.007206667
214,4/3/2019,369.75,2.029998779,0.403843333,0.41105
215,4/4/2019,367.8800049,-1.869995117,0.103261111,-0.300582222
216,4/5/2019,365.4899902,-2.390014648,0.272114444,0.168853333
217,4/6/2019,363.4499969,-2.039993286,0.290708889,0.018594445
218,4/7/2019,362.4300003,-1.019996643,0.341974444,0.051265555
219,4/8/2019,361.4100037,-1.019996643,0.275947778,-0.066026666
220,4/9/2019,364.7099915,3.299987793,0.29106,0.015112222
221,4/10/2019,363.9200134,-0.789978027,0.358137778,0.067077778
222,4/11/2019,367.6499939,3.729980469,0.202758889,-0.155378889
223,4/12/2019,351.1400146,-16.50997925,0.307032222,0.104273333
224,4/13/2019,350.0050049,-1.135009766,0.316157778,0.009125556
225,4/14/2019,349.4375,-0.567504883,0.344458889,0.028301111
226,4/15/2019,348.8699951,-0.567504883,0.311696667,-0.032762222
227,4/16/2019,359.4599915,10.58999634,0.263715556,-0.047981111
228,4/17/2019,354.7399902,-4.720001221,0.308928889,0.045213333
229,4/18/2019,360.3500061,5.610015869,0.235878889,-0.07305
230,4/19/2019,368.8450012,8.494995117,0.305973333,0.070094444
231,4/20/2019,373.0924988,4.247497559,0.319208602,0.013235269
232,4/21/2019,375.2162476,2.123748779,0.316151724,-0.003056878
233,4/22/2019,377.3399963,2.123748779,0.314536667,-0.001615057
234,4/23/2019,381.8900146,4.550018311,0.282492222,-0.032044445
235,4/24/2019,374.230011,-7.660003662,0.259826667,-0.022665555
236,4/25/2019,368.3299866,-5.900024414,0.3029,0.043073333
237,4/26/2019,374.8500061,6.520019531,0.281501111,-0.021398889
238,4/27/2019,373.3399963,-1.510009766,0.166084444,-0.115416667
239,4/28/2019,372.5849915,-0.755004883,0.297187778,0.131103334
240,4/29/2019,371.8299866,-0.755004883,0.176781111,-0.120406667
241,4/30/2019,370.5400085,-1.289978027,0.195615556,0.018834445
242,5/1/2019,378.8099976,8.269989014,0.280946667,0.085331111
243,5/2/2019,379.0599976,0.25,0.247508889,-0.033437778
244,5/3/2019,385.0299988,5.970001221,0.279376667,0.031867778
245,5/4/2019,381.8500061,-3.179992676,0.346442857,0.06706619
246,5/5/2019,380.2600098,-1.589996338,0.158717978,-0.187724879
247,5/6/2019,378.6700134,-1.589996338,0.258263333,0.099545355
248,5/7/2019,370.4599915,-8.210021973,0.234218889,-0.024044444
249,5/8/2019,364.3699951,-6.089996338,0.204215556,-0.030003333
250,5/9/2019,362.75,-1.619995117,0.244656667,0.040441111
251,5/10/2019,361.0400085,-1.709991455,0.333322222,0.088665555
252,5/11/2019,353.1500092,-7.88999939,0.425608889,0.092286667
253,5/12/2019,349.2050095,-3.944999695,0.296905556,-0.128703333
254,5/13/2019,345.2600098,-3.944999695,0.2968,-0.000105556
255,5/14/2019,345.6099854,0.349975586,0.221811111,-0.074988889
256,5/15/2019,354.9899902,9.380004883,0.242218889,0.020407778
257,5/16/2019,359.3099976,4.320007324,0.363741111,0.121522222
258,5/17/2019,354.4500122,-4.859985352,0.319481111,-0.04426
259,5/18/2019,351.2799988,-3.170013428,0.308786667,-0.010694444
260,5/19/2019,349.6949921,-1.585006714,0.291831111,-0.016955556
261,5/20/2019,348.1099854,-1.585006714,0.311661111,0.01983
262,5/21/2019,354.269989,6.160003662,0.408083333,0.096422222
263,5/22/2019,359.730011,5.460021973,0.390283333,-0.0178
264,5/23/2019,352.2099915,-7.520019531,0.366201111,-0.024082222
265,5/24/2019,354.3900146,2.180023193,0.264694444,-0.101506667
266,5/25/2019,354.7250061,0.334991455,0.385786667,0.121092223
267,5/26/2019,354.8925018,0.167495728,0.193198889,-0.192587778
268,5/27/2019,354.9762497,0.083747864,0.382243333,0.189044444
269,5/28/2019,355.0599976,0.083747864,0.340745556,-0.041497777
270,5/29/2019,349.1900024,-5.869995117,0.024785556,-0.31596
271,5/30/2019,351.8500061,2.660003662,0.289497778,0.264712222
272,5/31/2019,343.2799988,-8.570007324,0.213314444,-0.076183334
273,6/1/2019,339.9550018,-3.324996948,0.347898889,0.134584445
274,6/2/2019,338.2925034,-1.662498474,0.233301111,-0.114597778
275,6/3/2019,336.6300049,-1.662498474,0.270595556,0.037294445
276,6/4/2019,353.3999939,16.76998901,0.278254444,0.007658888
277,6/5/2019,355.730011,2.33001709,0.253914444,-0.02434
278,6/6/2019,357.1300049,1.399993896,0.248737778,-0.005176666
279,6/7/2019,360.8699951,3.739990234,0.304595556,0.055857778
280,6/8/2019,356.4400024,-4.429992676,0.331012222,0.026416666
281,6/9/2019,354.2250061,-2.214996338,0.256048889,-0.074963333
282,6/10/2019,352.0100098,-2.214996338,0.245855556,-0.010193333
283,6/11/2019,351.269989,-0.740020752,0.180731111,-0.065124445
284,6/12/2019,345.5599976,-5.709991455,0.354014444,0.173283333
285,6/13/2019,343.4299927,-2.130004883,0.263105556,-0.090908888
286,6/14/2019,339.730011,-3.699981689,0.272014444,0.008908888
287,6/15/2019,345.1750031,5.444992065,0.242711111,-0.029303333
288,6/16/2019,347.8974991,2.722496033,0.275615556,0.032904445
289,6/17/2019,350.6199951,2.722496033,0.192518889,-0.083096667
290,6/18/2019,357.1199951,6.5,0.152231111,-0.040287778
